-5.992	62.81	3.08
-5.792	97.23	1.61
-5.591	162.82	4.66
-5.392	219.33	5.38
-5.191	304.54	6.17
-4.992	391.06	6.96
-4.791	485.31	7.55
-4.591	580.34	8.30
-4.392	661.62	8.78
-4.191	723.42	9.28
-3.992	786.49	9.60
-3.791	814.37	9.70
-3.591	864.29	10.07
-3.392	879.72	10.14
-3.191	907.63	10.28
-2.991	927.02	10.45
-2.792	958.38	10.49
-2.289	1012.35	10.84
-1.792	1026.70	10.97
-1.289	1073.69	11.16
-0.791	1088.96	11.28
-0.289	1084.00	11.24
0.208	1103.98	11.51
0.711	1112.23	11.41
1.209	1095.28	11.25
1.410	1104.36	11.31
1.609	1068.48	11.16
1.809	1065.76	11.15
2.009	1043.33	11.07
2.208	1064.59	11.10
2.409	1027.35	10.93
2.610	1011.28	10.81
2.809	1010.29	10.91
3.008	975.41	10.62
3.208	964.72	10.62
3.409	921.50	10.42
3.609	937.18	10.37
3.809	872.90	10.03
4.009	829.17	9.78
4.209	756.31	9.32
4.409	673.22	8.81
4.608	600.98	8.45
4.809	497.37	7.64
5.009	407.31	7.03
5.210	323.22	6.31
5.409	236.51	5.57
5.610	159.58	4.54
5.809	115.39	3.97
6.009	60.07	2.64
6.208	39.03	2.56


